"","MASQ","STAI-T","STAI-S","TMAS","STICSA","SCL-90-R","ZungSAS","CC-DAS","4DSQ","HADS","DASS","BAI","CAS"
"MASQ",0,0.147058823529412,0.181818181818182,0.302325581395349,0.323529411764706,0.515151515151515,0.428571428571429,0.222222222222222,0.323529411764706,0.222222222222222,0.25,0.466666666666667,0.576923076923077
"STAI-T",0.147058823529412,0,0.647058823529412,0.285714285714286,0.172413793103448,0.0833333333333334,0.147058823529412,0.157894736842105,0,0.222222222222222,0.0769230769230769,0.178571428571429,0.0714285714285715
"STAI-S",0.181818181818182,0.647058823529412,0,0.285714285714286,0.133333333333333,0.114285714285714,0.147058823529412,0.222222222222222,0.0303030303030303,0.294117647058824,0.0769230769230769,0.269230769230769,0.111111111111111
"TMAS",0.302325581395349,0.285714285714286,0.285714285714286,0,0.307692307692308,0.272727272727273,0.435897435897436,0.21875,0.24390243902439,0.181818181818182,0.347826086956522,0.388888888888889,0.27027027027027
"STICSA",0.323529411764706,0.172413793103448,0.133333333333333,0.307692307692308,0,0.216216216216216,0.25,0.0370370370370369,0.212121212121212,0.12,0.25,0.21875,0.333333333333333
"SCL-90-R",0.515151515151515,0.0833333333333334,0.114285714285714,0.272727272727273,0.216216216216216,0,0.428571428571429,0.137931034482759,0.451612903225806,0.178571428571429,0.31578947368421,0.333333333333333,0.413793103448276
"ZungSAS",0.428571428571429,0.147058823529412,0.147058823529412,0.435897435897436,0.25,0.428571428571429,0,0.137931034482759,0.363636363636364,0.222222222222222,0.25,0.375,0.464285714285714
"CC-DAS",0.222222222222222,0.157894736842105,0.222222222222222,0.21875,0.0370370370370369,0.137931034482759,0.137931034482759,0,0.0370370370370369,0.230769230769231,0,0.285714285714286,0.142857142857143
"4DSQ",0.323529411764706,0,0.0303030303030303,0.24390243902439,0.212121212121212,0.451612903225806,0.363636363636364,0.0370370370370369,0,0.12,0.333333333333333,0.3,0.333333333333333
"HADS",0.222222222222222,0.222222222222222,0.294117647058824,0.181818181818182,0.12,0.178571428571429,0.222222222222222,0.230769230769231,0.12,0,0.333333333333333,0.35,0.263157894736842
"DASS",0.466666666666667,0.178571428571429,0.269230769230769,0.388888888888889,0.21875,0.333333333333333,0.375,0.285714285714286,0.3,0.35,0,0.266666666666667,0.4
"BAI",0.576923076923077,0.0714285714285715,0.111111111111111,0.27027027027027,0.333333333333333,0.413793103448276,0.464285714285714,0.142857142857143,0.333333333333333,0.263157894736842,0.230769230769231,0,0.4
"CAS",0.242424242424242,0.153846153846154,0.2,0.205128205128205,0.161290322580645,0.28125,0.32258064516129,0.263157894736842,0.285714285714286,0.333333333333333,0.333333333333333,0.4,0
